City,Hotel_Name,Price_DZD,Rating_Out_of_10,Reviews_Count,Latitude,Longitude,Facilities,URL
Algiers,AFRIC HOTEL- Casbah,41001.0,7.2,1723,36.78043989,3.05874295,N/A,https://www.booking.com/hotel/dz/afric.html
Algiers,Lalla Doudja Hotel,104650.0,7.9,118,36.74994733,3.03880388,N/A,https://www.booking.com/hotel/dz/lalla-doudja.html
Algiers,Numidien Hotel,55000.0,6.4,491,36.72297285,3.23835332,N/A,https://www.booking.com/hotel/dz/numidien.html
Algiers,sweet home,54000.0,9.2,51,36.74074850,3.00232014,N/A,https://www.booking.com/hotel/dz/appartement-meublee-f3.html
Algiers,Holiday Inn Algiers - Cheraga Tower by IHG,82620.0,7.5,587,36.75619600,2.95014000,N/A,https://www.booking.com/hotel/dz/holiday-inn-algiers-cheraga-tower.html
Algiers,Algiers Marriott Hotel Bab Ezzouar,178500.0,7.1,102,36.71200800,3.19306400,N/A,https://www.booking.com/hotel/dz/algiers-marriott-bab-ezzouar.html
Algiers,Atlantis Alger Aéroport ex Ibis,105000.0,8.7,40,36.71478800,3.19772700,N/A,https://www.booking.com/hotel/dz/ibis-alger.html
Algiers,Golden Tulip Royaume,100000.0,6.5,150,36.69540008,3.16210590,N/A,https://www.booking.com/hotel/dz/golden-tulip-royaume.html
Algiers,Hôtel Sidi Yahia,103700.0,8.0,582,36.73941157,3.03689297,N/A,https://www.booking.com/hotel/dz/sidi-yahia.html
Algiers,El Ghanami Hotel,65500.0,7.2,149,36.75924254,3.05549238,N/A,https://www.booking.com/hotel/dz/el-ghanami.html
Algiers,Hotel Rais,72500.0,7.2,71,36.80966139,3.25566842,N/A,https://www.booking.com/hotel/dz/rais-el-marsa.html
Algiers,M Suite Hotel,89100.0,8.9,335,36.71817100,3.20890500,N/A,https://www.booking.com/hotel/dz/m-suite.html
Algiers,Atlantis Alger Chevalley,80000.0,8.9,1100,36.77518515,3.01123687,N/A,https://www.booking.com/hotel/dz/atlantis-alger-alger.html
Algiers,Hotel Best Night 2,60885.0,8.4,508,36.72731200,3.22043300,N/A,https://www.booking.com/hotel/dz/best-night-2.html
Algiers,Mercure Alger Palais Des Congres,85500.0,8.4,212,36.80047000,2.91732000,N/A,https://www.booking.com/hotel/dz/mercure-alger-palais-des-congres.html
Algiers,Le soleil,67500.0,N/A,0,36.74509555,3.05799227,N/A,https://www.booking.com/hotel/dz/host-lab.html
Algiers,Hotel Ain benian,67500.0,7.3,198,36.80701668,2.94317307,N/A,https://www.booking.com/hotel/dz/ain-benian-alger1.html
Algiers,AD HOTEL HYDRA,120500.0,7.8,535,36.75064008,3.02293365,N/A,https://www.booking.com/hotel/dz/ad-hydra.html
Algiers,beau rivage,80000.0,9.6,5,36.74664978,3.05543983,N/A,https://www.booking.com/hotel/dz/le-beau-voyageur.html
Algiers,Hotel Best Night,61425.0,7.9,481,36.72447103,3.17074656,N/A,https://www.booking.com/hotel/dz/best-night.html
Algiers,Golden Tulip Opera Alger,99000.0,8.5,338,36.73164153,2.95666834,N/A,https://www.booking.com/hotel/dz/golden-tulip-opera-alger-ouled-fayet.html
Algiers,Hotel El Biar,37450.0,5.7,52,36.76381188,3.02309418,N/A,https://www.booking.com/hotel/dz/el-biar.html
Algiers,City Hotel Alger,39454.0,8.0,187,36.75909293,3.06148946,N/A,https://www.booking.com/hotel/dz/city.html
Algiers,SuperF2Scala,57000.0,8.8,24,36.77468271,3.04297346,N/A,https://www.booking.com/hotel/dz/superf2scala.html
Algiers,Hydra la placette,57375.0,9.0,1,36.74730173,3.04065913,N/A,https://www.booking.com/hotel/dz/hydra-la-placette.html
Oran,hotel saraya,39160.0,6.7,33,35.69654660,-0.64320280,N/A,https://www.booking.com/hotel/dz/saraya.html
Oran,Appartement centre ville Oran,56925.0,9.3,9,35.70458800,-0.63808600,N/A,https://www.booking.com/hotel/dz/appartement-centre-ville-oran-oran.html
Oran,Charmant F3 dans résidence fermée,33840.0,9.7,9,35.72675710,-0.57823088,N/A,https://www.booking.com/hotel/dz/charmant-f3-dans-residence-fermee.html
Oran,LE PALME HOTEL,76500.0,8.9,625,35.68510917,-0.64677233,N/A,https://www.booking.com/hotel/dz/le-palme.html
