City,Hotel_Name,Price_DZD,Rating_Out_of_10,Reviews_Count,Latitude,Longitude,Facilities,URL
Algiers,Atlantis Alger Aéroport ex Ibis,105000.0,8.7,40,36.71478800,3.19772700,Exceptional Breakfast | Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Facilities for disabled guests | Restaurant | Airport shuttle (free) | Free parking | Room service,https://www.booking.com/hotel/dz/ibis-alger.html
Algiers,Le soleil,67500.0,N/A,0,36.74509555,3.05799227,Family rooms | Non-smoking rooms | Free Wifi | 24-hour front desk | Facilities for disabled guests | Airport shuttle | Free parking | Room service,https://www.booking.com/hotel/dz/host-lab.html
Oran,Appartement T4 Akid Lotfi Oran,54000.0,N/A,0,35.73045950,-0.58523156,Free Wifi | Free parking,https://www.booking.com/hotel/dz/appartement-t4-akid-lotfi-oran-oran.html
Oran,AZ Hotels Grand Oran,144745.0,8.5,348,35.64920200,-0.60622800,Spa | Family rooms | 2 swimming pools | Non-smoking rooms | Wonderful Breakfast | Tea/Coffee Maker in All Rooms | Airport shuttle (free) | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/az-hotels-grand-oran-oran.html
Oran,Charmant T3 au cœur du centre-ville,34438.0,10.0,3,35.70261989,-0.63448515,Non-smoking rooms | Free Wifi | Family rooms,https://www.booking.com/hotel/dz/charmant-t3-au-coeur-du-centre-ville-oran.html
Oran,Chakib Areslane شكيب ارسلان,15000.0,N/A,0,35.68592674,-0.65671921,Free Wifi | Free parking,https://www.booking.com/hotel/dz/chakib-areslane-shkyb-rsln.html
Oran,Hotel Les Ambassadeurs,55000.0,8.0,105,35.69790765,-0.65049417,Non-smoking rooms | Free Wifi | Wonderful Breakfast | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/ambassadeurs-oran.html
Oran,Grand Hotel Oran,69750.0,8.6,75,35.70221330,-0.64558378,Tea/Coffee Maker in All Rooms | Free Wifi | Free parking | Excellent Breakfast,https://www.booking.com/hotel/dz/grand-oran.html
Oran,Lounis Hôtel by Atlantis,65500.0,9.1,89,35.68803560,-0.64442910,Non-smoking rooms | Free Wifi | Airport shuttle (free) | Very Good Breakfast | Tea/Coffee Maker in All Rooms | Restaurant | Room service,https://www.booking.com/hotel/dz/lounis-by-atlantis.html
Oran,2H Hotel,104400.0,6.7,47,35.70476673,-0.63236797,Spa | Family rooms | Tea/Coffee Maker in All Rooms | Non-smoking rooms | Breakfast | Airport shuttle | Indoor swimming pool | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/2h.html
Oran,Appartement résidence mobilart,110000.0,10.0,1,35.70540130,-0.62902810,Free Wifi | Free parking,https://www.booking.com/hotel/dz/appartement-residence-mobilart.html
Oran,hotel saraya,39160.0,6.7,33,35.69654660,-0.64320280,Family rooms | Non-smoking rooms | Free Wifi | Breakfast | Private Parking,https://www.booking.com/hotel/dz/saraya.html
Oran,Appartement centre ville Oran,56925.0,9.3,9,35.70458800,-0.63808600,Free Wifi | Free parking,https://www.booking.com/hotel/dz/appartement-centre-ville-oran-oran.html
Oran,Luxury Appartement à Akid lotfi & Canastel,79750.0,8.7,22,35.72554519,-0.58565497,Family rooms | Non-smoking rooms | Free Wifi | Airport shuttle | Private Parking,https://www.booking.com/hotel/dz/beau-sejour-a-oran.html
Oran,Four Points by Sheraton Oran,139500.0,6.7,455,35.71670014,-0.61009635,2 restaurants | Non-smoking rooms | Free Wifi | Bar | Tea/Coffee Maker in All Rooms | Airport shuttle (free) | Breakfast | Fitness center | Room service,https://www.booking.com/hotel/dz/four-points-by-sherton-oran.html
Oran,Amirale,52500.0,6.3,4,35.70463054,-0.64185188,Family rooms | Non-smoking rooms | Free Wifi | Restaurant | Breakfast | Room service,https://www.booking.com/hotel/dz/amirale-oran.html
